discount,learning_rate,score
0.1,0.02,1.0346
0.1,0.04,1.0323
0.1,0.06,1.035
0.1,0.08,1.0516
0.1,0.1,1.0703
0.1,0.12,1.0535
0.1,0.14,1.0462
0.1,0.16,1.0492
0.1,0.18,1.0373
0.2,0.02,1.0232
0.2,0.04,1.0384
0.2,0.06,1.0522
0.2,0.08,1.0701
0.2,0.1,1.0399
0.2,0.12,1.071
0.2,0.14,1.0467
0.2,0.16,1.0526
0.2,0.18,1.0429
0.3,0.02,1.0506
0.3,0.04,1.0458
0.3,0.06,1.0501
0.3,0.08,1.0569
0.3,0.1,1.035
0.3,0.12,1.04
0.3,0.14,1.0421
0.3,0.16,1.0523
0.3,0.18,1.0198
0.4,0.02,1.042
0.4,0.04,1.0347
0.4,0.06,1.0461
0.4,0.08,1.0631
0.4,0.1,1.0579
0.4,0.12,1.0381
0.4,0.14,1.0441
0.4,0.16,1.0371
0.4,0.18,1.0356
0.5,0.02,1.059
0.5,0.04,1.05
0.5,0.06,1.0627
0.5,0.08,1.0438
0.5,0.1,1.0541
0.5,0.12,1.0525
0.5,0.14,1.0401
0.5,0.16,1.0469
0.5,0.18,1.0241
0.6,0.02,1.0461
0.6,0.04,1.0593
0.6,0.06,1.0489
0.6,0.08,1.0483
0.6,0.1,1.0511
0.6,0.12,1.0647
0.6,0.14,1.0319
0.6,0.16,1.0308
0.6,0.18,1.0526
0.7,0.02,1.0546
0.7,0.04,1.0578
0.7,0.06,1.0559
0.7,0.08,1.0404
0.7,0.1,1.0415
0.7,0.12,1.0468
0.7,0.14,1.062
0.7,0.16,1.0556
0.7,0.18,1.0262
0.8,0.02,1.0626
0.8,0.04,1.0643
0.8,0.06,1.035
0.8,0.08,1.0389
0.8,0.1,1.055
0.8,0.12,1.0344
0.8,0.14,1.0424
0.8,0.16,1.0412
0.8,0.18,1.0239
0.9,0.02,1.0481
0.9,0.04,1.0288
0.9,0.06,1.0471
0.9,0.08,1.0419
0.9,0.1,1.0401
0.9,0.12,1.0054
0.9,0.14,1.0399
0.9,0.16,1.0156
0.9,0.18,1.0104
